player_id,player_name,team_id,height_in
920,A.C. Green,1610612747,81
1920,A.J. Bramlett,1610612739,82
243,Aaron McKie,1610612755,77
1425,Aaron Williams,1610612764,81
228,Adam Keefe,1610612762,81
1502,Adonal Foyle,1610612744,82
1559,Adrian Griffin,1610612738,77
1733,Al Harrington,1610612754,81
673,Alan Henderson,1610612737,81
1893,Aleksandar Radojevic,1610612761,87
275,Allan Houston,1610612752,78
947,Allen Iverson,1610612755,72
297,Alonzo Mourning,1610612748,82
1541,Alvin Williams,1610612761,77
1754,Andrae Patterson,1610612750,81
1889,Andre Miller,1610612739,74
692,Andrew DeClercq,1610612739,82
457,Andrew Lang,1610612752,83
358,Anfernee Hardaway,1610612756,79
1712,Antawn Jamison,1610612744,81
138,Anthony Avent,1610612746,81
1853,Anthony Carter,1610612748,73
1533,Anthony Johnson,1610612753,75
193,Anthony Mason,1610612766,80
292,Anthony Miller,1610612745,81
1515,Anthony Parker,1610612753,78
324,Anthony Peeler,1610612750,76
156,Antoine Carr,1610612763,81
952,Antoine Walker,1610612738,81
1498,Antonio Daniels,1610612759,76
213,Antonio Davis,1610612761,81
176,Antonio Harvey,1610612757,83
226,Antonio Lang,1610612755,80
686,Antonio McDyess,1610612743,81
288,Armen Gilliam,1610612762,81
717,Arvydas Sabonis,1610612757,87
1506,Austin Croshere,1610612754,81
422,Avery Johnson,1610612759,71
769,B.J. Armstrong,1610612741,74
1884,Baron Davis,1610612766,75
989,Ben Davis,1610612756,81
1112,Ben Wallace,1610612753,81
104,Benoit Benjamin,1610612739,84
223,Bill Curley,1610612744,81
82,Bill Wennington,1610612758,84
182,Billy Owens,1610612744,81
902,Bimbo Coles,1610612737,74
448,Bo Outlaw,1610612753,80
682,Bob Sura,1610612739,77
1517,Bobby Jackson,1610612750,73
184,Bobby Phills,1610612766,77
1719,Bonzi Wells,1610612757,77
1802,Brad Miller,1610612766,84
699,Brent Barry,1610612760,78
85,Brent Price,1610612763,73
1510,Brevin Knight,1610612739,70
258,Brian Grant,1610612757,81
216,Brian Shaw,1610612747,78
1730,Brian Skinner,1610612746,81
1477,Bruce Bowen,1610612748,79
1743,Bruno Sundov,1610612742,86
735,Bryant Reeves,1610612763,84
179,Bryant Stith,1610612743,77
1724,Bryce Drew,1610612745,75
935,Bryon Russell,1610612762,79
1898,Cal Bowdler,1610612737,82
384,Calbert Cheaney,1610612738,79
1916,Calvin Booth,1610612764,83
435,Carlos Rogers,1610612745,83
76,Cedric Ceballos,1610612742,79
1538,Cedric Henderson,1610612739,79
787,Charles Barkley,1610612745,78
891,Charles Oakley,1610612761,81
1869,Charles R. Jones,1610612746,75
369,Charlie Ward,1610612752,74
1497,Chauncey Billups,1610612743,75
685,Cherokee Parks,1610612763,83
1512,Chris Anstey,1610612741,84
713,Chris Carr,1610612741,78
164,Chris Childs,1610612752,75
1544,Chris Crawford,1610612737,81
201,Chris Dudley,1610612752,83
423,Chris Gatling,1610612743,82
1914,Chris Herren,1610612743,74
168,Chris Mills,1610612744,79
904,Chris Mullin,1610612754,79
185,Chris Webber,1610612758,82
43,Chris Whitney,1610612764,72
363,Christian Laettner,1610612765,83
456,Chuck Person,1610612760,80
1088,Chucky Atkins,1610612753,71
359,Chucky Brown,1610612766,80
221,Clar. Weatherspoon,1610612748,79
361,Clifford Robinson,1610612756,82
1736,Corey Benjamin,1610612741,78
1894,Corey Maggette,1610612753,78
916,Corie Blount,1610612756,82
722,Corliss Williamson,1610612758,79
724,Cory Alexander,1610612743,73
1749,Cuttino Mobley,1610612745,76
905,Dale Davis,1610612754,83
107,Dale Ellis,1610612766,79
1800,Damon Jones,1610612742,75
757,Damon Stoudamire,1610612757,70
105,Dan Majerle,1610612748,78
344,Dana Barros,1610612738,71
198,Danny Ferry,1610612739,82
1504,Danny Fortson,1610612738,79
330,Danny Manning,1610612749,82
353,Darrell Armstrong,1610612753,73
239,Darrick Martin,1610612758,71
1032,Darvin Ham,1610612749,79
