player_id,height_in
960,74
2735,80
1733,81
2746,81
339,82
1731,72
2564,80
1542,83
2764,79
2767,75
2044,84
788,84
1565,82
2744,82
952,81
2770,80
2556,74
1729,79
2753,76
56,76
1548,84
1718,78
2754,76
2570,82
1711,83
976,76
2562,79
980,87
1956,79
2760,82
727,75
2544,80
1714,80
2412,79
2205,84
2400,82
2424,72
2761,82
248,80
2411,81
2365,82
2573,83
2048,83
2747,78
2561,80
2418,78
1924,81
136,83
2199,85
2804,79
2732,75
2550,75
2457,73
2768,73
970,81
2421,75
213,81
2876,83
1559,77
1444,81
15,79
1496,82
714,79
2572,79
2605,78
353,73
956,83
1891,74
2734,75
1717,84
711,78
762,90
673,81
702,76
2035,81
2030,81
1761,76
935,79
445,78
1863,65
2784,74
2546,80
2059,80
948,83
1889,74
2403,83
998,82
1922,84
2211,83
2554,78
2206,81
965,73
1884,75
2560,83
2740,83
2401,84
2202,78
1502,82
2399,81
384,79
1503,80
682,77
133,73
2397,90
2229,74
468,77
983,73
221,79
1765,80
1909,81
1763,81
452,83
87,86
2763,72
1594,76
1442,84
2624,78
2733,79
2060,79
2250,78
1630,84
2055,84
2549,84
1882,80
2404,82
2406,79
1904,80
2575,80
977,78
1088,71
124,85
2098,82
2756,79
1908,80
2036,84
2567,81
258,81
2748,79
2548,76
2039,75
224,78
120,80
1800,75
406,85
297,82
2617,80
363,83
2446,79
1000,78
1720,83
924,74
389,83
2091,85
1065,75
2033,80
2072,78
2046,77
2590,73
2585,83
2558,78
2429,83
1916,83
1853,74
84,77
1887,79
1519,81
208,75
708,83
2239,77
697,77
1709,84
911,83
2204,82
2569,81
1934,77
467,76
696,71
2565,79
1521,73
2420,84
1713,78
2873,77
2243,81
2210,79
361,82
2215,84
2074,83
1508,81
950,74
1501,82
1983,77
2037,77
990,79
1743,86
2772,80
966,81
703,81
2866,82
2552,80
278,80
1883,75
1499,83
2891,78
1727,81
2052,77
2857,70
2730,83
1509,83
2749,72
2599,79
2435,84
1536,80
2109,72
979,83
1533,75
1902,83
2224,75
2410,74
397,79
905,83
2592,80
1506,82
2823,84
1513,83
1897,79
2223,83
947,72
185,82
2422,78
243,77
2738,78
1563,74
2668,80
1531,82
2594,78
2214,81
2584,74
915,79
962,82
2207,79
2047,78
2571,75
959,75
2321,82
754,78
1890,79
2405,82
2063,83
2212,84
448,80
1507,77
757,70
2775,87
2038,85
2499,77
1739,77
2032,81
2566,81
2742,72
949,81
2751,81
689,82
731,86
1749,76
2230,77
1903,79
1710,73
2845,80
978,82
2755,79
1517,73
2443,80
722,79
2067,73
1802,84
1730,81
1737,82
299,79
1752,82
109,82
1725,84
2225,74
2366,70
1477,79
2757,75
699,79
1938,78
1495,83
2484,77
763,81
2555,81
1740,82
2557,73
958,82
2863,78
1744,85
1504,80
2436,75
2043,74
2501,80
2741,84
1498,76
951,77
2209,82
2241,73
2547,82
147,80
2776,82
1960,75
1747,74
2588,82
677,80
441,79
2050,79
1425,81
2737,83
988,76
2745,78
458,74
1921,77
2246,83
1723,79
1952,77
2414,84
2693,74
2260,83
2743,81
1052,82
2766,72
1715,73
2031,81
1719,77
2200,84
2248,73
2563,78
2203,80
2034,80
2073,80
1899,80
953,83
2240,75
2407,82
2581,75
2413,75
1712,81
2198,83
1919,77
324,76
1716,77
2217,84
2041,82
1913,80
1497,75
1112,81
2798,73
1032,79
283,74
2648,79
2568,78
2419,81
686,81
2306,74
2545,84
1888,79
739,83
922,84
2078,75
2408,82
2222,79
2056,85
2586,77
724,73
2679,78
2774,78
1510,70
2574,80
2124,82
2731,82
