player_id,player_name,team_id,height_in
243,Aaron McKie,1610612747,77
1425,Aaron Williams,1610612746,81
200747,Adam Morrison,1610612766,80
1502,Adonal Foyle,1610612744,82
1559,Adrian Griffin,1610612741,77
1733,Al Harrington,1610612744,81
2744,Al Jefferson,1610612738,82
101187,Alan Anderson,1610612766,78
673,Alan Henderson,1610612755,81
200792,Alexander Johnson,1610612763,81
200810,Allan Ray,1610612738,74
947,Allen Iverson,1610612743,72
297,Alonzo Mourning,1610612748,82
1541,Alvin Williams,1610612746,77
2405,Amar'e Stoudemire,1610612756,82
101161,Amir Johnson,1610612765,81
2760,Anderson Varejao,1610612739,82
101154,Andray Blatche,1610612764,83
2857,Andre Barrett,1610612741,70
2810,Andre Brown,1610612760,81
2738,Andre Iguodala,1610612755,78
1889,Andre Miller,1610612755,74
200745,Andrea Bargnani,1610612761,84
2601,Andreas Glyniadakis,1610612760,85
1905,Andrei Kirilenko,1610612762,81
2804,Andres Nocioni,1610612741,79
101106,Andrew Bogut,1610612749,84
101115,Andrew Bynum,1610612747,84
2740,Andris Biedrins,1610612744,83
1712,Antawn Jamison,1610612764,81
1853,Anthony Carter,1610612743,74
1533,Anthony Johnson,1610612737,75
1515,Anthony Parker,1610612761,78
101194,Anthony Roberson,1610612744,74
952,Antoine Walker,1610612748,81
101120,Antoine Wright,1610612751,79
1498,Antonio Daniels,1610612764,76
686,Antonio McDyess,1610612765,81
1506,Austin Croshere,1610612742,82
1884,Baron Davis,1610612744,75
2732,Ben Gordon,1610612741,75
1112,Ben Wallace,1610612741,81
2757,Beno Udrih,1610612759,75
2774,Bernard Robinson,1610612751,78
448,Bo Outlaw,1610612753,80
1517,Bobby Jackson,1610612740,73
200784,Bobby Jones,1610612755,79
1719,Bonzi Wells,1610612745,77
2564,Boris Diaw,1610612756,80
2411,Bostjan Nachbar,1610612751,81
101152,Bracey Wright,1610612750,75
1802,Brad Miller,1610612758,84
101138,Brandon Bass,1610612740,80
200750,Brandon Roy,1610612757,78
2217,Brendan Haywood,1610612764,84
699,Brent Barry,1610612759,79
1510,Brevin Knight,1610612766,70
2073,Brian Cardinal,1610612763,80
2567,Brian Cook,1610612747,81
2243,Brian Scalabrine,1610612738,81
1730,Brian Skinner,1610612749,81
1477,Bruce Bowen,1610612759,79
101139,CJ Miles,1610612762,78
1916,Calvin Booth,1610612764,83
2306,Carlos Arroyo,1610612753,74
2430,Carlos Boozer,1610612762,81
2568,Carlos Delfino,1610612765,78
2546,Carmelo Anthony,1610612743,80
2406,Caron Butler,1610612764,79
200841,Cedric Bozeman,1610612737,78
200759,Cedric Simmons,1610612740,81
101112,Channing Frye,1610612752,83
2294,Charlie Bell,1610612749,75
101111,Charlie Villanueva,1610612749,83
1497,Chauncey Billups,1610612765,75
2547,Chris Bosh,1610612761,82
2768,Chris Duhon,1610612741,73
2549,Chris Kaman,1610612746,84
200840,Chris McCray,1610612749,77
101108,Chris Paul,1610612740,72
200809,Chris Quinn,1610612748,74
185,Chris Webber,1610612765,82
2404,Chris Wilcox,1610612760,82
101236,Chuck Hayes,1610612745,78
1088,Chucky Atkins,1610612763,71
361,Clifford Robinson,1610612751,82
1894,Corey Maggette,1610612746,78
722,Corliss Williamson,1610612758,79
200783,Craig Smith,1610612750,79
1749,Cuttino Mobley,1610612746,76
2788,DJ Mbenga,1610612742,84
2563,Dahntay Jones,1610612763,78
2402,Dajuan Wagner,1610612744,75
905,Dale Davis,1610612765,83
2863,Damien Wilkins,1610612760,78
200806,Damir Markota,1610612749,82
1800,Damon Jones,1610612739,75
757,Damon Stoudamire,1610612763,70
2424,Dan Dickau,1610612757,72
2429,Dan Gadzuric,1610612749,83
101137,Daniel Ewing,1610612746,75
200789,Daniel Gibson,1610612739,74
1504,Danny Fortson,1610612760,80
101122,Danny Granger,1610612754,81
2443,Darius Songaila,1610612764,81
2545,Darko Milicic,1610612753,84
353,Darrell Armstrong,1610612754,73
239,Darrick Martin,1610612761,71
2758,David Harrison,1610612754,84
101135,David Lee,1610612752,81
200786,David Noel,1610612749,78
133,David Wesley,1610612739,73
2561,David West,1610612740,81
2205,DeSagana Diop,1610612742,84
2052,DeShawn Stevenson,1610612764,77
200793,Dee Brown,1610612762,72
2753,Delonte West,1610612738,76
2035,DerMarr Johnson,1610612743,81
1507,Derek Anderson,1610612766,77
965,Derek Fisher,1610612762,73
101114,Deron Williams,1610612762,75
2824,Desmon Farmer,1610612760,77
2046,Desmond Mason,1610612740,77
1904,Devean George,1610612742,80
2484,Devin Brown,1610612740,77
2734,Devin Harris,1610612742,75
101159,Dijon Thompson,1610612737,80
87,Dikembe Mutombo,1610612745,86
1717,Dirk Nowitzki,1610612742,84
101182,Donell Taylor,1610612764,77
923,Donyell Marshall,1610612739,81
2748,Dorell Wright,1610612748,80
57,Doug Christie,1610612746,78
2400,Drew Gooden,1610612739,82
101204,Dwayne Jones,1610612739,83
2730,Dwight Howard,1610612753,83
2548,Dwyane Wade,1610612748,76
2853,Earl Barron,1610612748,84
1863,Earl Boykins,1610612749,65
2248,Earl Watson,1610612760,73
2204,Eddie Griffin,1610612750,81
2067,Eddie House,1610612751,73
224,Eddie Jones,1610612748,78
2201,Eddy Curry,1610612752,83
2059,Eduardo Najera,1610612743,80
1882,Elton Brand,1610612746,80
2731,Emeka Okafor,1610612766,82
15,Eric Piatkowski,1610612756,79
727,Eric Snow,1610612739,75
677,Eric Williams,1610612766,80
956,Erick Dampier,1610612742,83
101141,Ersan Ilyasova,1610612749,81
101212,Esteban Batista,1610612737,82
2041,Etan Thomas,1610612764,82
101177,Fabricio Oberto,1610612759,82
2436,Flip Murray,1610612765,75
1922,Francisco Elson,1610612759,84
101128,Francisco Garcia,1610612758,79
2410,Fred Jones,1610612757,74
56,Gary Payton,1610612748,76
101123,Gerald Green,1610612738,80
2222,Gerald Wallace,1610612766,79
2240,Gilbert Arenas,1610612764,76
1921,Gordan Giricek,1610612762,78
255,Grant Hill,1610612753,80
1761,Greg Buckner,1610612742,76
101124,Hakim Warrick,1610612763,81
200801,Hassan Adams,1610612751,76
2045,Hedo Turkoglu,1610612753,82
200756,Hilton Armstrong,1610612740,83
101113,Ike Diogu,1610612754,80
2137,Ime Udoka,1610612757,77
1956,Ira Newble,1610612739,79
200829,Ivan McFarlin,1610612755,79
200826,J.J. Barea,1610612742,72
200755,JJ Redick,1610612753,76
2747,JR Smith,1610612743,78
2866,Jackie Butler,1610612759,82
1521,Jacque Vaughn,1610612759,73
2054,Jake Tsakalidis,1610612745,86
2063,Jake Voskuhl,1610612766,83
147,Jalen Rose,1610612756,80
2048,Jamaal Magloire,1610612757,83
2224,Jamaal Tinsley,1610612754,75
2037,Jamal Crawford,1610612752,77
2441,Jamal Sampson,1610612743,83
2749,Jameer Nelson,1610612753,72
200788,James Augustine,1610612753,82
2592,James Jones,1610612756,80
2591,James Lang,1610612764,82
1899,James Posey,1610612748,80
101189,James Singleton,1610612746,80
200778,James White,1610612759,79
2457,Jannero Pargo,1610612740,73
2407,Jared Jeffries,1610612752,83
2876,Jared Reiner,1610612749,83
101127,Jarrett Jack,1610612757,75
2260,Jarron Collins,1610612762,83
2553,Jarvis Hayes,1610612764,80
2215,Jason Collins,1610612751,84
2078,Jason Hart,1610612746,75
2574,Jason Kapono,1610612748,80
467,Jason Kidd,1610612751,76
101131,Jason Maxiell,1610612765,79
2202,Jason Richardson,1610612744,78
1891,Jason Terry,1610612742,74
1715,Jason Williams,1610612748,73
1902,Jeff Foster,1610612754,83
976,Jeff McInnis,1610612766,76
200978,Jeremy Richardson,1610612757,79
979,Jermaine O'Neal,1610612754,83
1744,Jerome James,1610612752,85
711,Jerry Stackhouse,1610612742,78
2207,Joe Johnson,1610612737,79
693,Joe Smith,1610612755,82
2038,Joel Przybilla,1610612757,85
101121,Joey Graham,1610612761,79
101130,Johan Petro,1610612760,84
101249,John Lucas III,1610612745,71
2422,John Salmons,1610612758,78
200770,Jordan Farmar,1610612747,74
200816,Jorge Garbajosa,1610612761,81
101181,Jose Calderon,1610612761,75
200767,Josh Boone,1610612751,82
2735,Josh Childress,1610612737,80
2572,Josh Howard,1610612742,79
2694,Josh Powell,1610612744,81
2746,Josh Smith,1610612737,81
2413,Juan Dixon,1610612761,75
101125,Julius Hodge,1610612749,79
1908,Jumaine Jones,1610612756,80
2454,Junior Harrington,1610612763,76
2770,Justin Reed,1610612750,80
200818,Justin Williams,1610612758,82
436,Juwan Howard,1610612745,81
2586,Keith Bogans,1610612753,77
2693,Keith McLeod,1610612754,74
101235,Kelenna Azubuike,1610612744,77
1509,Kelvin Cato,1610612752,83
2570,Kendrick Perkins,1610612738,82
1903,Kenny Thomas,1610612758,79
2030,Kenyon Martin,1610612743,81
708,Kevin Garnett,1610612750,83
2755,Kevin Martin,1610612758,79
1563,Kevin Ollie,1610612755,75
788,Kevin Willis,1610612742,84
200838,Kevinn Pinkney,1610612738,82
2039,Keyon Dooling,1610612753,75
2550,Kirk Hinrich,1610612741,75
2745,Kirk Snyder,1610612745,78
977,Kobe Bryant,1610612747,78
2743,Kris Humphries,1610612761,81
703,Kurt Thomas,1610612756,81
2198,Kwame Brown,1610612747,83
2594,Kyle Korver,1610612755,79
200768,Kyle Lowry,1610612763,72
200746,LaMarcus Aldridge,1610612757,83
1885,Lamar Odom,1610612747,82
1716,Larry Hughes,1610612739,77
101160,Lawrence Roberts,1610612763,81
2544,LeBron James,1610612739,80
2571,Leandro Barbosa,1610612756,75
200796,Leon Powe,1610612738,80
101132,Linas Kleiza,1610612743,80
283,Lindsey Hunter,1610612765,74
2669,Linton Johnson,1610612740,80
953,Lorenzen Wright,1610612737,83
200811,Lou Amundson,1610612755,81
101150,Lou Williams,1610612755,73
2739,Luke Jackson,1610612761,79
2557,Luke Ridnour,1610612760,73
101195,Luke Schenscher,1610612757,85
