player_id,player_name,team_id,height_in
1630639,A.J. Lawson,1610612761,78
1631260,AJ Green,1610612749,76
1642358,AJ Johnson,1610612764,77
203932,Aaron Gordon,1610612743,80
1628988,Aaron Holiday,1610612745,72
1630174,Aaron Nesmith,1610612754,78
1630598,Aaron Wiggins,1610612760,77
1641745,Adam Flagler,1610612760,75
1641766,Adama Sanogo,1610612741,81
1641737,Adem Bona,1610612755,82
1642349,Ajay Mitchell,1610612760,77
201143,Al Horford,1610612738,81
202692,Alec Burks,1610612748,77
1627936,Alex Caruso,1610612760,77
1642505,Alex Ducas,1610612760,79
203458,Alex Len,1610612747,84
1642024,Alex Reese,1610612755,81
1642259,Alex Sarr,1610612764,84
1631214,Alondes Williams,1610612746,76
1630578,Alperen Sengun,1610612745,83
1641708,Amen Thompson,1610612745,79
1629599,Amir Coffey,1610612746,79
203083,Andre Drummond,1610612755,83
1641748,Andre Jackson Jr.,1610612749,78
1629614,Andrew Nembhard,1610612754,76
203952,Andrew Wiggins,1610612748,79
1629014,Anfernee Simons,1610612757,75
1641710,Anthony Black,1610612753,79
203076,Anthony Davis,1610612742,82
1630162,Anthony Edwards,1610612750,76
1630264,Anthony Gill,1610612764,80
1641817,Anton Watson,1610612752,80
1641810,Antonio Reeves,1610612740,77
1630574,Ariel Hukporti,1610612752,83
1642422,Armel Traore,1610612747,81
1641709,Ausar Thompson,1610612765,78
1630559,Austin Reaves,1610612747,77
1630245,Ayo Dosunmu,1610612741,77
1628389,Bam Adebayo,1610612748,81
1631248,Baylor Scheierman,1610612738,78
1641767,Ben Sheppard,1610612754,78
1627732,Ben Simmons,1610612746,82
1631097,Bennedict Mathurin,1610612754,77
1641731,Bilal Coulibaly,1610612764,80
202687,Bismack Biyombo,1610612759,80
1631104,Blake Wesley,1610612759,75
1626171,Bobby Portis,1610612749,82
1641752,Bobi Klintman,1610612765,81
203992,Bogdan Bogdanović,1610612746,77
1629626,Bol Bol,1610612756,87
1630538,Bones Hyland,1610612750,74
203078,Bradley Beal,1610612756,76
1642382,Branden Carlson,1610612760,84
1641764,Brandin Podziemski,1610612744,76
1630527,Brandon Boston,1610612740,78
1629634,Brandon Clarke,1610612763,80
1627742,Brandon Ingram,1610612761,80
1641706,Brandon Miller,1610612766,79
1630314,Brandon Williams,1610612742,73
1630296,Braxton Key,1610612744,80
1641729,Brice Sensabaugh,1610612762,77
1642355,Bronny James,1610612747,75
201572,Brook Lopez,1610612749,85
1628971,Bruce Brown,1610612740,76
1628981,Bruno Fernando,1610612761,81
1631121,Bryce McGowens,1610612757,78
1642267,Bub Carrington,1610612764,76
1627741,Buddy Hield,1610612744,76
203468,CJ McCollum,1610612740,75
1630595,Cade Cunningham,1610612765,78
1631216,Caleb Houstan,1610612753,80
1628997,Caleb Martin,1610612742,77
1642353,Cam Christie,1610612746,78
1629629,Cam Reddish,1610612747,79
1642285,Cam Spencer,1610612763,76
1630560,Cam Thomas,1610612751,75
1641715,Cam Whitmore,1610612745,79
1629661,Cameron Johnson,1610612751,80
1626166,Cameron Payne,1610612752,75
1627747,Caris LeVert,1610612737,78
1641717,Cason Wallace,1610612760,75
1629646,Charles Bassey,1610612759,82
1631096,Chet Holmgren,1610612760,85
1628449,Chris Boucher,1610612761,81
1630537,Chris Duarte,1610612741,77
1641753,Chris Livingston,1610612749,78
101108,Chris Paul,1610612759,72
1631128,Christian Braun,1610612743,78
1631132,Christian Koloko,1610612747,84
1629643,Chuma Okeke,1610612739,79
203991,Clint Capela,1610612737,82
1629632,Coby White,1610612741,77
1628998,Cody Martin,1610612756,78
1642262,Cody Williams,1610612762,79
1641732,Colby Jones,1610612764,78
1630175,Cole Anthony,1610612763,74
1631306,Cole Swider,1610612754,80
1630658,Colin Castleton,1610612761,82
1631221,Collin Gillespie,1610612756,73
1629012,Collin Sexton,1610612762,75
1630557,Corey Kispert,1610612764,78
202709,Cory Joseph,1610612753,74
1641854,Craig Porter Jr.,1610612739,73
1642385,Cui Cui,1610612751,77
1626156,D'Angelo Russell,1610612751,75
1630618,D.J. Carton,1610612761,75
1629610,DaQuan Jeffries,1610612766,77
1631342,Daeqwon Plowden,1610612737,78
1630227,Daishen Nix,1610612750,76
1630625,Dalano Banton,1610612757,80
1631207,Dalen Terry,1610612741,79
1642261,Dalton Knecht,1610612747,78
203081,Damian Lillard,1610612749,74
1641878,Damion Baugh,1610612766,76
1627814,Damion Lee,1610612756,78
1629655,Daniel Gafford,1610612742,82
1628464,Daniel Theis,1610612740,80
1642450,Daniss Jenkins,1610612765,75
203957,Danté Exum,1610612742,77
203967,Dario Šarić,1610612743,82
1641727,Dariq Whitehead,1610612751,78
1629636,Darius Garland,1610612739,73
1630561,David Duke Jr.,1610612759,76
1631223,David Roddy,1610612745,76
1630558,Davion Mitchell,1610612748,72
1630549,Day'Ron Sharpe,1610612751,81
1628368,De'Aaron Fox,1610612759,75
1629631,De'Andre Hunter,1610612739,80
1629001,De'Anthony Melton,1610612751,75
201599,DeAndre Jordan,1610612743,83
201942,DeMar DeRozan,1610612758,78
1629731,Dean Wade,1610612739,81
1629028,Deandre Ayton,1610612757,84
1627749,Dejounte Murray,1610612740,76
