player_id,height_in
2230,77
2207,79
201242,77
201151,75
2746,81
201238,77
1710,74
2049,71
201143,82
2436,75
101107,81
2585,83
201043,83
200780,82
201629,80
200796,80
201592,77
708,83
1630,84
950,74
200765,73
201175,81
201611,78
201172,76
951,77
1718,79
2754,76
2570,82
2243,81
2067,73
201616,81
200789,74
2590,73
2562,79
1112,81
200814,78
1887,79
980,87
2753,75
2760,83
201581,81
2544,80
101214,81
693,82
953,83
101108,72
1752,82
2199,85
2050,79
200756,83
978,82
2484,77
2561,81
201153,80
2408,82
1763,81
1899,80
2446,79
1498,76
201565,75
1501,82
101194,74
2732,75
2736,81
283,74
2550,75
201149,83
2422,78
201634,76
200748,81
1744,85
201189,84
1802,84
2669,80
200797,84
467,76
200761,81
2572,79
101123,80
200826,72
2679,78
101120,79
956,83
1891,74
101138,80
101189,80
1904,80
1717,84
711,78
2747,78
2030,81
2078,75
1497,75
2365,82
201603,78
2546,80
1853,74
101130,84
2563,78
2403,83
200764,80
101132,80
2212,84
1536,80
201576,82
2037,77
101235,77
101145,75
2740,83
201158,77
101142,82
201627,77
201228,74
201633,81
201148,82
201176,82
1894,78
201166,72
1503,80
2449,81
200768,72
200778,79
2397,90
101144,77
201171,81
201595,80
699,79
2203,80
2567,81
101236,78
87,86
1897,79
1884,75
2410,74
101165,77
201446,74
1730,81
201599,83
201569,75
201154,80
200779,82
948,83
200776,78
1729,79
2549,84
2216,81
965,73
2772,80
2575,80
200770,74
200747,80
1885,82
201180,81
200769,76
2200,84
101115,84
2756,79
2694,81
977,78
2788,84
2748,81
2548,76
201596,73
979,83
200081,80
200821,79
200809,74
101129,75
201161,77
1548,84
2048,83
2592,80
201563,81
2617,80
201202,81
101136,73
101106,84
201196,75
1922,84
2586,77
201570,80
201601,80
2557,74
1800,75
2072,78
2210,79
2124,82
101111,83
2294,75
2429,83
201628,74
2742,72
200751,76
200783,79
101155,79
200760,79
1563,74
2073,80
201147,81
200749,81
2744,82
2034,80
2215,84
2058,81
201567,82
200767,82
201146,84
201572,84
200772,77
2059,80
1713,78
201604,79
201583,82
2250,78
2553,80
2734,75
2239,77
201157,82
2039,75
1716,77
2768,73
101126,69
201621,77
1733,81
201568,82
2404,82
200754,83
2407,83
201163,80
2047,78
201805,83
1749,76
2201,83
101135,81
1747,74
1499,83
200755,76
1533,75
1740,82
1731,72
201584,77
2730,83
101162,83
2749,72
2045,82
2554,78
1502,82
200978,79
101127,75
2211,83
2551,72
2605,78
1725,84
1766,82
1902,83
2224,75
101143,73
2399,81
101211,78
201575,78
201177,82
101122,80
201579,86
2223,83
2416,78
1889,74
923,81
2738,78
2767,76
201160,84
201578,82
201152,80
101150,74
2501,80
2584,75
1882,81
689,82
2405,82
201609,76
201162,79
2031,82
2571,75
959,75
201577,84
200811,81
2440,79
2202,78
201169,78
406,85
255,80
2581,75
201573,75
201164,78
200750,78
101110,79
1711,83
2038,85
200771,75
200746,83
2566,81
101183,82
101112,83
1913,80
201141,84
201587,80
101113,81
2804,79
101119,76
1903,79
200759,81
2757,75
201590,83
2755,79
1517,73
201150,84
101128,79
201574,83
1916,83
201173,79
201588,74
714,79
2137,77
101177,82
2427,77
2225,74
1521,73
1477,79
2588,82
1938,78
1495,83
101133,83
703,81
2400,82
201566,75
200757,79
201591,81
2555,82
201602,78
1088,71
990,79
2420,84
2733,79
2863,78
201145,81
2248,73
2741,85
2046,77
201142,81
101146,77
2556,74
2547,82
200763,75
200745,84
101181,75
200753,84
101121,79
1515,78
201605,82
2574,80
1890,79
2743,81
200822,82
2063,83
1510,70
2430,81
101114,75
200758,79
2246,83
1723,79
101179,74
201165,78
200794,80
2594,79
2260,83
101139,78
201585,84
201178,85
1905,81
201589,81
2032,81
2036,84
1761,76
201144,73
2624,78
201632,86
101124,81
200752,80
2366,70
2545,84
201564,76
201188,85
2060,79
2240,76
201156,78
2052,77
2406,79
1712,81
201187,81
201159,77
2443,81
2413,75
2229,74
200762,84
101154,83
2217,84
201580,84
2041,82
947,72
201155,77
200835,81
101198,72
2419,81
686,81
101161,81
201167,77
739,83
1888,79
2198,83
201594,81
101131,79
201858,79
200971,77
2222,79
436,81
1737,82
2205,84
2209,82
201571,72
1952,77
101109,73
201582,84
2564,80
101118,81
201606,72
2731,82
