season_end_year,player_id,player_name,height_in
1991,783,Frank Brickowski,81
1991,76431,Lester Conner,76
1991,76504,Adrian Dantley,77
1991,107,Dale Ellis,79
1991,81,Jeff Grayer,77
1991,1667,Steve Henson,71
1991,77081,Jay Humphries,75
1991,77301,Frank Kornet,81
1991,38,Brad Lohaus,83
1991,122,Fred Roberts,82
1991,926,Alvin Robertson,76
1991,7,Dan Schayes,83
1991,78149,Jack Sikma,83
1991,78247,Everette Stephens,74
1991,177,Muggsy Bogues,63
1991,364,Rex Chapman,76
1991,940,Earl Cureton,81
1991,209,Dell Curry,76
1991,930,Kenny Gattison,80
1991,383,Kendall Gill,77
1991,76826,Mike Gminski,83
1991,76911,Scott Haffner,75
1991,705,Randolph Keys,79
1991,287,Eric Leckner,83
1991,271,Johnny Newman,79
1991,462,J.R. Reid,81
1991,1874,Jeff Sanders,80
1991,88,Steve Scheffler,81
1991,78369,Kelly Tripucka,78
