player_id,height_in
174,74
76231,78
156,81
273,79
402,84
77377,80
77449,82
77456,79
470,76
78310,78
78348,81
892,67
1122,80
76009,83
1449,81
76170,75
333,78
97,78
77141,76
170,83
77384,79
1450,82
305,85
77819,78
291,81
77969,82
216,78
78394,74
921,84
201,83
378,78
166,78
77071,80
705,79
77685,82
899,72
78014,85
78059,78
78395,74
73,83
76362,85
76453,83
76518,79
270,82
917,82
77034,74
893,78
77820,74
781,84
937,80
77880,74
78110,84
78417,74
116,81
76172,85
76176,78
76504,77
76516,75
76583,86
157,76
77173,78
64,81
78293,84
78390,79
82,84
78528,76
1006,82
149,70
76435,75
76441,82
1453,78
76671,80
76673,80
76881,81
76944,79
77077,70
77335,78
77376,75
78656,76
7,83
78378,77
76024,74
76195,90
76748,82
76782,74
76841,80
77019,79
77524,80
904,78
782,77
78055,88
78195,80
78198,77
317,75
78271,82
78304,77
76158,80
76387,79
76726,75
77130,79
77146,75
77353,73
77516,83
77707,89
165,84
78139,79
78323,78
901,81
78614,77
76094,81
104,84
76497,75
76790,74
76831,77
202,75
77398,81
330,82
77721,74
80,80
78016,77
293,82
78654,83
941,75
78507,80
78556,74
199,79
341,83
76003,86
76338,79
76444,79
920,81
77142,81
77332,78
77558,83
77970,72
2,75
78331,82
78615,81
1460,81
76483,81
236,75
76862,78
76968,82
3,81
77694,77
77872,82
938,83
1117,83
600009,74
78279,74
78295,76
1631,79
78465,74
76247,87
76268,78
187,81
76616,75
81,77
76874,72
77057,85
77081,75
1474,81
77623,84
77626,76
894,76
77879,77
122,82
78149,83
78377,71
76082,72
76353,84
76370,85
76431,76
76770,75
77030,81
77054,77
77180,79
77361,82
77530,77
356,80
1593,82
433,80
76320,83
121,84
76876,81
349,75
939,78
271,79
891,81
393,75
78375,77
78404,80
78440,80
78534,82
786,78
1068,85
313,77
76752,79
76861,84
397,79
77652,75
456,80
96,81
101,73
22,88
78247,74
78,82
78352,74
1456,78
76046,79
787,78
418,71
76385,73
76412,81
76826,83
765,75
76993,74
2652,80
77986,81
78029,80
78183,78
738,82
1846,84
766,77
1472,82
895,78
76472,79
76528,78
76618,76
930,80
288,81
204,75
134,73
70,75
457,83
105,78
77697,79
897,81
770,82
76045,82
76217,85
76237,79
95,81
17,79
404,84
76709,85
77134,82
77175,83
760,79
345,75
78146,73
78250,77
78504,73
78633,76
76017,77
76025,80
76157,80
219,76
76812,84
77104,74
38,83
1622,80
77839,82
77881,79
181,75
47,81
76042,71
246,82
335,80
194,78
783,81
76426,81
1008,74
76901,86
77263,78
137,76
77614,79
77691,78
926,76
78022,80
78175,73
1091,84
78418,79
78516,82
76091,79
262,81
76378,82
107,79
422,71
175,84
77419,75
1365,79
365,81
203,77
178,84
77946,80
78087,82
9,74
1847,83
1479,82
76631,88
76695,76
76890,76
76942,78
77092,82
77294,76
287,83
77372,71
252,81
77771,82
304,73
76019,80
767,80
306,75
289,77
76703,83
265,80
77178,80
279,81
77264,79
117,76
78437,76
78554,80
76016,78
76539,83
76552,77
247,75
229,85
76960,77
77167,74
100263,83
1381,77
328,82
23,79
927,83
78318,73
52,74
177,63
364,76
940,81
209,76
77047,76
77053,83
1118,82
1123,83
77383,78
77415,72
77905,80
77936,80
78031,81
78347,79
78369,78
