player_id,height_in
76598,78
76822,74
76971,81
77144,74
77435,79
77484,73
77528,75
77553,83
77829,81
78014,85
78025,80
78132,79
600009,74
76017,77
76054,73
1449,81
76230,77
76351,78
76608,74
76707,82
76733,77
76993,74
77487,80
1450,82
305,85
77984,83
76151,79
76239,82
76249,76
76569,75
229,85
76686,73
76734,81
77010,78
77071,80
77087,74
77615,79
77623,84
77635,73
77848,78
77944,81
77986,81
78150,73
78468,82
78482,79
78531,78
76189,76
76304,77
76567,83
600014,86
76881,81
77110,78
77182,82
77246,81
77373,74
77989,78
78215,75
78310,78
78533,79
78615,81
76016,78
76176,78
76257,79
76441,82
76516,75
77229,78
77328,82
77396,82
77432,75
77719,82
78222,77
78378,77
78418,79
76307,74
76618,76
76673,80
76830,78
77021,72
77056,80
77097,81
77547,72
77920,80
77998,82
78000,75
78326,76
78404,80
76283,82
76353,84
76753,75
76771,76
76966,77
77264,79
77395,78
77527,81
77800,78
78015,73
78139,79
78195,80
78569,80
76616,75
76786,79
76979,81
76996,75
77189,81
77353,73
77449,82
77669,69
77757,84
77817,83
77936,80
78233,79
78577,80
76262,76
76266,79
76290,82
1472,82
76471,68
76534,78
76589,74
77024,76
77363,82
77689,83
78191,81
78199,76
78296,74
78516,82
78527,81
78548,76
78610,78
76003,86
76248,81
76444,79
77135,76
77142,81
77205,73
77324,81
77334,80
77498,81
77530,77
77541,77
77721,74
77905,80
78532,78
76252,77
76296,75
76365,81
76474,83
76483,81
76500,78
77160,79
77168,82
600005,83
175,84
77490,78
77626,76
78204,71
78237,75
78600,76
76085,81
76170,75
76435,75
76443,82
600010,82
76826,83
77263,78
77326,82
77754,79
78348,81
78400,79
78436,73
433,80
78571,75
76228,78
76360,75
76362,85
76447,78
76553,81
77289,81
77420,81
77710,76
77952,77
78047,80
78068,80
78200,75
78481,85
78500,76
78570,79
76317,76
76355,77
76526,74
77136,82
77148,79
77290,78
77532,80
77770,80
77786,82
78146,73
78365,75
1006,82
76095,81
76385,73
940,81
76539,83
76641,73
76681,79
77043,75
77162,78
77175,83
77193,81
77618,79
77950,75
78351,75
76011,81
76231,78
76436,82
1453,78
76625,80
77141,76
77235,84
77308,79
77438,75
77520,76
77685,82
77993,79
78095,79
76078,82
76084,84
76121,76
76895,78
76901,86
76954,82
77323,84
77332,78
77691,78
77819,78
77911,74
78331,82
78395,74
78414,81
78467,80
76556,80
76590,82
76599,73
76736,74
76899,78
77134,82
77163,81
77273,78
77331,82
77401,78
77582,82
78519,77
78614,77
76093,79
76242,74
76453,83
76804,79
76889,81
77149,83
77633,73
77756,80
77904,79
78632,81
76272,75
76583,86
76944,79
77152,79
77896,76
78133,80
78149,83
78423,79
78442,80
78549,74
76368,81
76504,77
76619,75
76874,72
76890,76
76948,80
77715,73
77873,81
77997,79
7,83
78537,82
78609,79
78618,77
76091,79
76392,83
76418,78
76518,79
76887,77
76981,80
77040,75
77146,75
77419,75
328,82
78041,82
78307,76
78605,79
76154,83
76350,79
76913,72
76947,78
76980,84
77167,74
77184,82
77215,78
77239,79
100263,83
77364,75
1381,77
78318,73
78369,78
78390,79
78623,73
