player_id,height_in
2735,80
2207,79
1733,81
2746,81
1731,72
101212,82
2764,79
101219,75
101136,73
101107,81
2585,83
2767,75
2823,84
101158,76
101155,79
101123,80
2744,82
2753,76
2424,72
101204,83
1718,78
1709,84
2754,76
2570,82
2243,81
1711,83
1887,79
101211,78
2436,75
2562,79
980,87
1956,79
101149,86
2760,82
1800,75
727,75
2544,80
923,81
1716,77
2739,79
673,81
2400,82
2745,78
101108,72
2049,71
101178,76
2033,80
2747,78
2046,77
983,73
2561,81
101138,80
1425,81
136,83
2669,80
1531,82
2446,79
988,76
2199,85
2804,79
2732,75
2736,81
2550,75
101188,77
2457,73
2768,73
970,81
2443,80
2124,82
101195,85
2552,80
15,79
1496,82
2572,79
2605,78
2205,84
353,73
956,83
2788,84
1891,74
2694,81
2734,75
1717,84
711,78
1559,77
2035,81
2030,81
1761,76
458,74
1863,65
2546,80
2059,80
1739,77
948,83
1889,74
2501,80
2403,83
101125,79
101132,80
1922,84
2211,83
2554,78
101198,72
965,73
1884,75
101145,75
101113,80
2560,83
2740,83
101147,82
2202,78
1502,82
2399,81
384,79
1503,80
101129,75
682,77
2031,81
436,81
133,73
1594,76
2586,77
2397,90
1747,74
2499,77
2573,83
1763,81
101236,78
87,86
962,82
101137,75
1749,76
2209,82
1442,84
2624,78
2733,79
101189,80
208,75
452,83
2549,84
1882,80
1894,78
2470,76
243,77
1904,80
2575,80
1885,82
977,78
101115,84
2756,79
101142,82
754,78
2036,84
2567,81
2198,83
2748,80
2548,76
1507,77
952,81
56,76
2574,80
101134,81
406,85
297,82
2617,80
1899,80
1000,78
1720,83
1715,73
1983,77
101106,84
389,83
693,82
2551,72
2048,83
2250,78
2072,78
2590,73
911,83
2294,75
2412,79
2429,83
101119,76
2556,74
101152,75
1853,74
2770,80
2648,79
1607,73
708,83
2239,77
1548,84
1729,79
2058,81
2204,82
2060,79
467,76
2411,81
2565,79
1521,73
2420,84
1713,78
101120,79
2210,79
361,82
441,79
1909,81
2215,84
1519,81
1883,75
1508,81
950,74
101126,69
147,80
2417,80
101112,83
2137,77
2037,77
990,79
2047,78
1744,85
2201,83
101135,81
2866,82
2772,80
278,80
1499,83
2039,75
1727,81
2052,77
2730,83
2749,72
2045,82
2306,74
2545,84
255,80
101143,73
2435,85
448,80
1536,80
101180,76
2109,72
979,83
1533,75
1902,83
2224,75
2758,84
978,82
2410,74
101122,81
1506,82
1513,83
2223,83
947,72
185,82
2214,82
2422,78
2738,78
1563,74
2440,79
101150,73
2594,78
2584,74
101183,82
2212,84
1501,82
2564,80
2571,75
2469,83
959,75
2401,84
1952,77
2592,80
1890,79
2405,82
703,81
2067,73
258,81
702,76
101127,75
2581,75
2413,75
2775,87
101110,79
2038,85
2032,81
2566,80
2742,72
2751,81
689,82
2216,81
1730,81
949,81
2078,75
101179,74
1903,79
1710,74
958,82
2755,79
2441,83
101128,79
722,79
1719,77
1802,84
1897,79
677,80
2588,82
1737,82
714,79
109,82
101177,82
2225,74
1477,79
2757,75
699,79
1938,78
1495,83
89,73
1752,82
2555,81
1740,82
2557,73
2863,78
101230,81
1504,80
2248,73
101130,84
2366,70
2741,84
1630,84
951,77
2404,82
2743,81
1725,84
239,71
2254,86
2547,82
101181,75
2776,82
2857,70
2229,74
101121,79
1541,77
2050,79
101111,83
1960,76
2430,81
101114,75
1921,77
2246,83
1723,79
2484,77
2693,74
101261,76
2260,83
101139,78
1905,81
2737,83
2766,72
101194,74
224,78
2054,86
2200,84
757,70
101124,81
1517,73
2563,78
2203,80
1088,71
2034,80
2073,80
953,83
101160,81
2240,76
2407,83
2406,79
1712,81
1498,76
2873,77
101182,77
101154,83
2217,84
2852,78
2041,82
1913,80
1916,83
960,74
1497,75
1112,81
2230,77
283,74
1509,83
2568,78
2419,81
686,81
1888,79
905,83
739,83
101131,79
2408,82
2222,79
2056,85
101207,75
2679,78
101187,78
101109,73
2774,78
1510,70
1908,80
2437,80
101118,81
2063,83
2731,82
