player_id,player_name,team_id,height_in
201166,Aaron Brooks,1610612745,72
201189,Aaron Gray,1610612741,84
1425,Aaron Williams,1610612746,81
201151,Acie Law,1610612737,75
1502,Adonal Foyle,1610612753,82
1559,Adrian Griffin,1610612760,77
1733,Al Harrington,1610612744,81
201143,Al Horford,1610612737,82
2744,Al Jefferson,1610612750,82
201154,Al Thornton,1610612746,80
201169,Alando Tucker,1610612756,78
200792,Alexander Johnson,1610612748,81
947,Allen Iverson,1610612743,72
297,Alonzo Mourning,1610612748,82
2405,Amar'e Stoudemire,1610612756,82
101161,Amir Johnson,1610612765,81
2760,Anderson Varejao,1610612739,82
101154,Andray Blatche,1610612764,83
2857,Andre Barrett,1610612746,70
2810,Andre Brown,1610612763,81
2738,Andre Iguodala,1610612755,78
1889,Andre Miller,1610612755,74
101261,Andre Owens,1610612754,76
200745,Andrea Bargnani,1610612761,84
1905,Andrei Kirilenko,1610612762,81
2804,Andres Nocioni,1610612741,79
101106,Andrew Bogut,1610612749,84
101115,Andrew Bynum,1610612747,84
2740,Andris Biedrins,1610612744,83
358,Anfernee Hardaway,1610612748,79
1712,Antawn Jamison,1610612764,81
1853,Anthony Carter,1610612743,74
1533,Anthony Johnson,1610612758,75
1515,Anthony Parker,1610612761,78
952,Antoine Walker,1610612750,81
101120,Antoine Wright,1610612742,79
1498,Antonio Daniels,1610612764,76
686,Antonio McDyess,1610612765,81
201167,Arron Afflalo,1610612765,77
1506,Austin Croshere,1610612744,82
2852,Awvee Storey,1610612749,78
1884,Baron Davis,1610612744,75
2732,Ben Gordon,1610612741,75
1112,Ben Wallace,1610612739,81
2757,Beno Udrih,1610612758,75
2873,Billy Thomas,1610612739,77
201336,Blake Ahearn,1610612748,74
448,Bo Outlaw,1610612753,80
1517,Bobby Jackson,1610612745,73
200784,Bobby Jones,1610612743,79
2250,Bobby Simmons,1610612749,78
1719,Bonzi Wells,1610612740,77
2564,Boris Diaw,1610612756,80
2411,Bostjan Nachbar,1610612751,81
1802,Brad Miller,1610612758,84
201148,Brandan Wright,1610612744,81
101138,Brandon Bass,1610612742,80
200750,Brandon Roy,1610612757,78
2217,Brendan Haywood,1610612764,84
699,Brent Barry,1610612759,79
1510,Brevin Knight,1610612746,70
2073,Brian Cardinal,1610612763,80
2567,Brian Cook,1610612753,81
2243,Brian Scalabrine,1610612738,81
1730,Brian Skinner,1610612756,81
1477,Bruce Bowen,1610612759,79
201228,C.J. Watson,1610612744,74
101139,CJ Miles,1610612762,78
1916,Calvin Booth,1610612755,83
201171,Carl Landry,1610612745,81
2306,Carlos Arroyo,1610612753,74
2430,Carlos Boozer,1610612762,81
2568,Carlos Delfino,1610612761,78
2546,Carmelo Anthony,1610612743,80
2406,Caron Butler,1610612764,79
2418,Casey Jacobsen,1610612763,78
200759,Cedric Simmons,1610612741,81
101112,Channing Frye,1610612757,83
2294,Charlie Bell,1610612749,75
101111,Charlie Villanueva,1610612749,83
1497,Chauncey Billups,1610612765,75
200798,Cheikh Samb,1610612765,85
2365,Chris Andersen,1610612740,82
2547,Chris Bosh,1610612761,82
2768,Chris Duhon,1610612741,73
2549,Chris Kaman,1610612746,84
2036,Chris Mihm,1610612747,84
101108,Chris Paul,1610612740,72
200809,Chris Quinn,1610612748,74
201181,Chris Richard,1610612750,81
185,Chris Webber,1610612744,82
2404,Chris Wilcox,1610612760,82
101236,Chuck Hayes,1610612745,78
1088,Chucky Atkins,1610612743,71
201207,Coby Karl,1610612747,77
201147,Corey Brewer,1610612750,81
1894,Corey Maggette,1610612746,78
201235,Courtney Sims,1610612754,83
200783,Craig Smith,1610612750,80
1749,Cuttino Mobley,1610612746,76
2788,DJ Mbenga,1610612747,84
201199,DJ Strawberry,1610612756,77
201161,Daequan Cook,1610612748,77
2563,Dahntay Jones,1610612758,78
2863,Damien Wilkins,1610612760,78
1800,Damon Jones,1610612739,75
757,Damon Stoudamire,1610612759,70
2424,Dan Dickau,1610612746,72
2429,Dan Gadzuric,1610612749,83
200789,Daniel Gibson,1610612739,74
101122,Danny Granger,1610612754,80
2443,Darius Songaila,1610612764,81
200827,Darius Washington,1610612759,74
2545,Darko Milicic,1610612763,84
353,Darrell Armstrong,1610612751,73
239,Darrick Martin,1610612761,71
201208,Darryl Watkins,1610612758,83
2758,David Harrison,1610612754,84
101135,David Lee,1610612752,81
2561,David West,1610612740,81
2205,DeSagana Diop,1610612751,84
2052,DeShawn Stevenson,1610612764,77
2753,Delonte West,1610612739,75
201193,Demetris Nichols,1610612741,80
2035,DerMarr Johnson,1610612759,81
1507,Derek Anderson,1610612766,77
965,Derek Fisher,1610612747,73
101114,Deron Williams,1610612762,75
