player_id,player_name,team_id,height_in
920,A.C. Green,1610612748,81.0
2062,A.J. Guyton,1610612741,73.0
243,Aaron McKie,1610612755,77.0
1425,Aaron Williams,1610612751,81.0
228,Adam Keefe,1610612744,81.0
1502,Adonal Foyle,1610612744,82.0
1559,Adrian Griffin,1610612738,77.0
1733,Al Harrington,1610612754,81.0
673,Alan Henderson,1610612737,81.0
275,Allan Houston,1610612752,78.0
947,Allen Iverson,1610612755,72.0
297,Alonzo Mourning,1610612748,82.0
1541,Alvin Williams,1610612761,77.0
1889,Andre Miller,1610612739,74.0
692,Andrew DeClercq,1610612753,82.0
1950,Andy Panko,1610612737,81.0
358,Anfernee Hardaway,1610612756,79.0
1712,Antawn Jamison,1610612744,81.0
1853,Anthony Carter,1610612748,73.0
924,Anthony Goldwire,1610612743,74.0
1533,Anthony Johnson,1610612739,75.0
193,Anthony Mason,1610612748,80.0
292,Anthony Miller,1610612755,81.0
324,Anthony Peeler,1610612750,76.0
952,Antoine Walker,1610612738,81.0
1498,Antonio Daniels,1610612759,76.0
213,Antonio Davis,1610612761,81.0
176,Antonio Harvey,1610612757,83.0
686,Antonio McDyess,1610612743,81.0
1609,Art Long,1610612758,81.0
717,Arvydas Sabonis,1610612757,87.0
1506,Austin Croshere,1610612754,81.0
422,Avery Johnson,1610612759,71.0
1884,Baron Davis,1610612766,75.0
1112,Ben Wallace,1610612765,81.0
223,Bill Curley,1610612744,
182,Billy Owens,1610612765,
902,Bimbo Coles,1610612739,74.0
448,Bo Outlaw,1610612753,80.0
682,Bob Sura,1610612744,77.0
1517,Bobby Jackson,1610612758,73.0
1719,Bonzi Wells,1610612757,77.0
1802,Brad Miller,1610612741,84.0
699,Brent Barry,1610612760,78.0
85,Brent Price,1610612763,73.0
1510,Brevin Knight,1610612737,70.0
2073,Brian Cardinal,1610612765,80.0
258,Brian Grant,1610612748,81.0
216,Brian Shaw,1610612747,78.0
1730,Brian Skinner,1610612746,81.0
1477,Bruce Bowen,1610612748,79.0
1743,Bruno Sundov,1610612754,86.0
735,Bryant Reeves,1610612763,84.0
179,Bryant Stith,1610612738,77.0
1724,Bryce Drew,1610612741,75.0
935,Bryon Russell,1610612762,79.0
1898,Cal Bowdler,1610612737,82.0
384,Calbert Cheaney,1610612743,79.0
1916,Calvin Booth,1610612742,83.0
435,Carlos Rogers,1610612745,83.0
76,Cedric Ceballos,1610612748,79.0
1538,Cedric Henderson,1610612739,79.0
891,Charles Oakley,1610612761,81.0
369,Charlie Ward,1610612752,74.0
1497,Chauncey Billups,1610612750,75.0
685,Cherokee Parks,1610612746,83.0
713,Chris Carr,1610612738,78.0
164,Chris Childs,1610612761,75.0
1544,Chris Crawford,1610612737,81.0
201,Chris Dudley,1610612756,83.0
1612,Chris Garner,1610612744,70.0
423,Chris Gatling,1610612739,82.0
1914,Chris Herren,1610612738,74.0
2036,Chris Mihm,1610612739,85.0
168,Chris Mills,1610612744,79.0
904,Chris Mullin,1610612744,
2084,Chris Porter,1610612744,79.0
185,Chris Webber,1610612758,82.0
43,Chris Whitney,1610612764,72.0
363,Christian Laettner,1610612764,83.0
1088,Chucky Atkins,1610612765,71.0
359,Chucky Brown,1610612739,80.0
221,Clar. Weatherspoon,1610612739,79.0
361,Clifford Robinson,1610612756,82.0
1736,Corey Benjamin,1610612741,78.0
1894,Corey Maggette,1610612746,78.0
916,Corie Blount,1610612744,82.0
722,Corliss Williamson,1610612765,79.0
724,Cory Alexander,1610612753,73.0
2042,Courtney Alexander,1610612764,77.0
1749,Cuttino Mobley,1610612745,76.0
905,Dale Davis,1610612757,83.0
2053,Dalibor Bagaric,1610612741,85.0
1800,Damon Jones,1610612763,75.0
757,Damon Stoudamire,1610612757,70.0
2061,Dan Langhi,1610612745,83.0
105,Dan Majerle,1610612748,78.0
2082,Dan McClintock,1610612743,84.0
344,Dana Barros,1610612765,71.0
2091,Daniel Santiago,1610612756,85.0
198,Danny Ferry,1610612759,82.0
1504,Danny Fortson,1610612744,80.0
330,Danny Manning,1610612762,82.0
2032,Darius Miles,1610612746,81.0
353,Darrell Armstrong,1610612753,73.0
239,Darrick Martin,1610612758,71.0
1032,Darvin Ham,1610612749,79.0
128,David Benoit,1610612762,80.0
764,David Robinson,1610612759,85.0
2128,David Vanterpool,1610612764,77.0
133,David Wesley,1610612766,73.0
766,David Wingate,1610612760,77.0
2052,DeShawn Stevenson,1610612762,77.0
1051,Dean Garrett,1610612750,83.0
244,Dee Brown,1610612753,74.0
209,Dell Curry,1610612761,77.0
2035,DerMarr Johnson,1610612737,81.0
1507,Derek Anderson,1610612759,77.0
965,Derek Fisher,1610612747,73.0
400,Derek Strong,1610612746,81.0
934,Derrick Coleman,1610612766,82.0
1760,Derrick Dial,1610612759,76.0
365,Derrick McKey,1610612754,82.0
2046,Desmond Mason,1610612760,77.0
96,Detlef Schrempf,1610612757,82.0
1904,Devean George,1610612747,80.0
87,Dikembe Mutombo,1610612755,86.0
1901,Dion Glover,1610612737,77.0
1717,Dirk Nowitzki,1610612742,83.0
931,Don MacLean,1610612748,
690,Don Reid,1610612753,80.0
2051,Donnell Harvey,1610612742,80.0
923,Donyell Marshall,1610612762,81.0
57,Doug Christie,1610612758,78.0
77,Doug Overton,1610612751,75.0
28,Doug West,1610612763,
1434,Dragan Tarlac,1610612741,83.0
190,Duane Causwell,1610612748,84.0
1863,Earl Boykins,1610612746,65.0
2109,Eddie Gill,1610612751,72.0
2067,Eddie House,1610612748,73.0
224,Eddie Jones,1610612748,79.0
1944,Eddie Robinson,1610612766,81.0
2059,Eduardo Najera,1610612742,80.0
922,Elden Campbell,1610612766,84.0
695,Eldridge Recasner,1610612766,76.0
386,Elliot Perry,1610612756,72.0
1882,Elton Brand,1610612741,80.0
1023,Emanual Davis,1610612760,77.0
376,Eric Montross,1610612761,84.0
15,Eric Piatkowski,1610612746,78.0
727,Eric Snow,1610612755,75.0
677,Eric Williams,1610612738,80.0
2057,Erick Barkley,1610612757,73.0
956,Erick Dampier,1610612744,83.0
1065,Erick Strickland,1610612763,75.0
911,Ervin Johnson,1610612749,83.0
1564,Etdrick Bohannon,1610612739,
1915,Evan Eschmeyer,1610612751,83.0
1732,Felipe Lopez,1610612750,77.0
280,Felton Spencer,1610612752,84.0
697,Fred Hoiberg,1610612741,77.0
2123,Garth Joseph,1610612743,86.0
202,Gary Grant,1610612757,
56,Gary Payton,1610612760,76.0
718,Gary Trent,1610612742,80.0
248,George Lynch,1610612755,80.0
45,George McCloud,1610612743,80.0
1562,Gerard King,1610612764,
779,Glen Rice,1610612752,80.0
299,Glenn Robinson,1610612749,79.0
255,Grant Hill,1610612753,80.0
3,Grant Long,1610612763,81.0
21,Greg Anthony,1610612757,73.0
1761,Greg Buckner,1610612742,76.0
323,Greg Foster,1610612747,83.0
731,Greg Ostertag,1610612762,86.0
165,Hakeem Olajuwon,1610612745,84.0
2069,Hanno Mottola,1610612737,83.0
2045,Hedo Turkoglu,1610612758,80.0
765,Hersey Hawkins,1610612766,75.0
270,Horace Grant,1610612747,82.0
458,Howard Eisley,1610612742,74.0
93,Hubert Davis,1610612764,77.0
1134,Ike Austin,1610612763,82.0
1085,Ira Bowman,1610612737,
1956,Ira Newble,1610612759,79.0
375,Isaiah Rider,1610612747,
462,J.R. Reid,1610612739,
2074,Jabari Smith,1610612758,83.0
1521,Jacque Vaughn,1610612762,73.0
1751,Jahidi White,1610612764,81.0
2054,Jake Tsakalidis,1610612756,86.0
2063,Jake Voskuhl,1610612741,83.0
147,Jalen Rose,1610612754,80.0
2048,Jamaal Magloire,1610612766,82.0
2037,Jamal Crawford,1610612741,77.0
469,Jamal Mashburn,1610612766,80.0
1554,Jamal Robinson,1610612748,
1975,Jamel Thomas,1610612751,78.0
1899,James Posey,1610612743,80.0
381,James Robinson,1610612753,
994,Jamie Feick,1610612751,
1114,Jaren Jackson,1610612759,
679,Jason Caffey,1610612749,80.0
2044,Jason Collier,1610612745,84.0
2078,Jason Hart,1610612749,74.0
467,Jason Kidd,1610612756,76.0
1891,Jason Terry,1610612737,74.0
1715,Jason Williams,1610612758,73.0
1902,Jeff Foster,1610612754,83.0
976,Jeff McInnis,1610612746,76.0
1741,Jelani McCoy,1610612760,82.0
979,Jermaine O'Neal,1610612754,83.0
760,Jerome Kersey,1610612749,
2040,Jerome Moiso,1610612738,82.0
966,Jerome Williams,1610612761,81.0
711,Jerry Stackhouse,1610612765,78.0
754,Jim Jackson,1610612739,78.0
29,Jim McIlvaine,1610612751,
693,Joe Smith,1610612765,82.0
2038,Joel Przybilla,1610612749,85.0
680,John Amaechi,1610612753,82.0
715,John Coker,1610612744,
180,John Crotty,1610612762,74.0
317,John Starks,1610612762,77.0
304,John Stockton,1610612762,73.0
961,John Wallace,1610612765,81.0
271,Johnny Newman,1610612751,79.0
468,Jon Barry,1610612758,77.0
1886,Jonathan Bender,1610612754,83.0
146,Jud Buechler,1610612765,78.0
1908,Jumaine Jones,1610612755,80.0
436,Juwan Howard,1610612742,81.0
252,Karl Malone,1610612762,81.0
1496,Keith Van Horn,1610612751,82.0
1509,Kelvin Cato,1610612745,83.0
383,Kendall Gill,1610612751,77.0
72,Kenny Anderson,1610612738,73.0
1903,Kenny Thomas,1610612745,80.0
2030,Kenyon Martin,1610612751,81.0
1721,Keon Clark,1610612761,83.0
236,Kevin Edwards,1610612763,75.0
708,Kevin Garnett,1610612750,83.0
1563,Kevin Ollie,1610612755,74.0
788,Kevin Willis,1610612743,84.0
2039,Keyon Dooling,1610612746,77.0
2064,Khalid El-Amin,1610612741,
977,Kobe Bryant,1610612747,79.0
1600,Kornel David,1610612765,81.0
703,Kurt Thomas,1610612752,81.0
111,LaPhonso Ellis,1610612750,80.0
1885,Lamar Odom,1610612746,82.0
441,Lamond Murray,1610612739,79.0
1930,Lari Ketner,1610612754,
1919,Laron Profit,1610612764,77.0
1716,Larry Hughes,1610612744,77.0
913,Larry Johnson,1610612752,79.0
1683,Larry Robinson,1610612737,
84,Latrell Sprewell,1610612752,77.0
2068,Lavor Postell,1610612752,77.0
1444,Lawrence Funderburke,1610612758,81.0
1924,Lee Nailon,1610612766,80.0
283,Lindsey Hunter,1610612749,74.0
953,Lorenzen Wright,1610612737,83.0
919,Loy Vaught,1610612764,81.0
26,Luc Longley,1610612752,
446,Lucious Harris,1610612751,77.0
51,Mahmoud Abdul-Rauf,1610612763,73.0
990,Malik Rose,1610612759,79.0
2055,Mamadou N'diaye,1610612761,84.0
1531,Marc Jackson,1610612744,82.0
948,Marcus Camby,1610612752,83.0
2033,Marcus Fizer,1610612741,81.0
53,Mario Elie,1610612756,77.0
1548,Mark Blount,1610612738,84.0
95,Mark Bryant,1610612742,81.0
349,Mark Jackson,1610612752,75.0
2058,Mark Madsen,1610612747,81.0
998,Mark Pope,1610612749,82.0
1110,Mark Strickland,1610612751,82.0
2043,Mateen Cleaves,1610612765,74.0
672,Matt Bullard,1610612745,82.0
761,Matt Geiger,1610612755,85.0
1723,Matt Harpring,1610612739,79.0
1074,Matt Maloney,1610612737,75.0
1508,Maurice Taylor,1610612745,81.0
1897,Metta World Peace,1610612741,79.0
688,Michael Curry,1610612765,77.0
1722,Michael Dickerson,1610612763,76.0
1720,Michael Doleac,1610612753,83.0
714,Michael Finley,1610612742,79.0
1138,Michael Hawkins,1610612739,
1709,Michael Olowokandi,1610612746,84.0
2072,Michael Redd,1610612749,78.0
1913,Michael Ruffin,1610612741,80.0
63,Michael Smith,1610612764,80.0
1565,Michael Stewart,1610612761,82.0
1710,Mike Bibby,1610612763,73.0
2034,Mike Miller,1610612753,80.0
2130,Mike Penberthy,1610612747,75.0
2065,Mike Smith,1610612764,80.0
1630,Mikki Moore,1610612765,84.0
1960,Milt Palacio,1610612738,75.0
782,Mitch Richmond,1610612764,
42,Monty Williams,1610612753,80.0
983,Moochie Norris,1610612745,73.0
302,Mookie Blaylock,1610612744,73.0
2050,Morris Peterson,1610612761,79.0
177,Muggsy Bogues,1610612761,
1737,Nazr Mohammed,1610612737,82.0
98,Nick Anderson,1610612758,78.0
89,Nick Van Exel,1610612743,73.0
1918,Obinna Ekezie,1610612742,81.0
178,Olden Polynice,1610612762,84.0
2071,Olumide Oyedeji,1610612760,82.0
970,Othella Harrington,1610612752,81.0
901,Otis Thorpe,1610612766,82.0
136,P.J. Brown,1610612766,83.0
1727,Pat Garrity,1610612753,81.0
121,Patrick Ewing,1610612760,84.0
2101,Paul McPherson,1610612744,76.0
1718,Paul Pierce,1610612738,78.0
978,Peja Stojakovic,1610612758,81.0
2143,Pepe Sanchez,1610612755,
442,Pervis Ellison,1610612760,
461,Popeye Jones,1610612764,80.0
2047,Quentin Richardson,1610612746,78.0
1900,Quincy Lewis,1610612762,79.0
1711,Raef LaFrentz,1610612743,83.0
1747,Rafer Alston,1610612749,74.0
1952,Raja Bell,1610612755,77.0
753,Randy Brown,1610612738,74.0
988,Randy Livingston,1610612744,76.0
1740,Rashard Lewis,1610612760,82.0
739,Rasheed Wallace,1610612757,83.0
1725,Rasho Nesterovic,1610612750,84.0
951,Ray Allen,1610612749,77.0
397,Reggie Miller,1610612754,79.0
1073,Reggie Slater,1610612750,79.0
1888,Richard Hamilton,1610612764,78.0
1594,Rick Brunson,1610612752,76.0
296,Rick Fox,1610612747,79.0
1729,Ricky Davis,1610612748,79.0
109,Robert Horry,1610612747,82.0
123,Robert Pack,1610612743,74.0
1714,Robert Traylor,1610612739,80.0
393,Rod Strickland,1610612757,75.0
1934,Rodney Buford,1610612755,77.0
915,Rodney Rogers,1610612756,79.0
166,Ron Harper,1610612747,78.0
1500,Ron Mercer,1610612741,79.0
1728,Roshown McLeod,1610612755,
2092,Ruben Garces,1610612744,
1739,Ruben Patterson,1610612760,77.0
2106,Ruben Wolkowyski,1610612760,82.0
1763,Ryan Bowen,1610612743,79.0
208,Sam Cassell,1610612749,75.0
1734,Sam Jacobson,1610612750,
417,Sam Mitchell,1610612750,79.0
64,Sam Perkins,1610612754,81.0
955,Samaki Walker,1610612759,81.0
1513,Scot Pollard,1610612758,83.0
197,Scott Burrell,1610612766,79.0
1909,Scott Padgett,1610612762,81.0
281,Scott Williams,1610612749,82.0
937,Scottie Pippen,1610612757,79.0
2173,Sean Colson,1610612745,72.0
251,Sean Elliott,1610612759,80.0
399,Sean Rooks,1610612746,82.0
1742,Shammond Williams,1610612760,73.0
1000,Shandon Anderson,1610612745,78.0
406,Shaquille O'Neal,1610612747,85.0
949,Shareef Abdur-Rahim,1610612763,81.0
762,Shawn Bradley,1610612742,90.0
431,Shawn Kemp,1610612757,82.0
1890,Shawn Marion,1610612756,79.0
1035,Shawnelle Scott,1610612759,83.0
428,Sherman Douglas,1610612751,
2098,Slava Medvedenko,1610612747,82.0
2066,Soumaila Samake,1610612751,84.0
278,Stacey Augmon,1610612757,80.0
1536,Stephen Jackson,1610612751,80.0
950,Stephon Marbury,1610612751,74.0
1883,Steve Francis,1610612745,75.0
1864,Steve Goodrich,1610612741,82.0
70,Steve Kerr,1610612759,75.0
959,Steve Nash,1610612742,75.0
120,Steven Smith,1610612757,80.0
2031,Stromile Swift,1610612763,81.0
1505,Tariq Abdul-Wahad,1610612743,78.0
2121,Terrance Roberson,1610612766,
210,Terrell Brandon,1610612750,71.0
426,Terry Davis,1610612743,82.0
371,Terry Mills,1610612754,
345,Terry Porter,1610612759,75.0
689,Theo Ratliff,1610612755,82.0
1495,Tim Duncan,1610612759,84.0
896,Tim Hardaway,1610612748,72.0
1906,Tim James,1610612766,
1501,Tim Thomas,1610612749,82.0
103,Todd Day,1610612750,
957,Todd Fuller,1610612748,
1928,Todd MacCulloch,1610612755,84.0
339,Tom Gugliotta,1610612756,82.0
67,Tom Hammonds,1610612750,
389,Toni Kukoc,1610612737,83.0
1499,Tony Battie,1610612738,83.0
960,Tony Delk,1610612756,74.0
763,Tony Massenburg,1610612763,81.0
380,Tony Smith,1610612737,
1503,Tracy McGrady,1610612753,80.0
145,Tracy Murray,1610612761,79.0
1892,Trajan Langdon,1610612739,75.0
696,Travis Best,1610612754,71.0
969,Travis Knight,1610612752,84.0
1607,Troy Hudson,1610612753,73.0
895,Tyrone Corbin,1610612761,
238,Tyrone Hill,1610612755,81.0
1838,Tyrone Nesby,1610612764,78.0
1731,Tyronn Lue,1610612747,72.0
721,Tyus Edney,1610612754,70.0
137,Vernon Maxwell,1610612742,76.0
452,Vin Baker,1610612760,83.0
1713,Vince Carter,1610612761,78.0
219,Vinny Del Negro,1610612756,76.0
958,Vitaly Potapenko,1610612738,82.0
124,Vlade Divac,1610612758,85.0
1735,Vladimir Stepania,1610612751,84.0
1907,Vonteego Cummings,1610612744,75.0
702,Voshon Lenard,1610612743,76.0
1887,Wally Szczerbiak,1610612750,79.0
1005,Walt Williams,1610612745,80.0
962,Walter McCarty,1610612738,82.0
1917,Wang Zhi-zhi,1610612742,85.0
445,Wesley Person,1610612739,78.0
781,Will Perdue,1610612757,84.0
1895,William Avery,1610612750,74.0
440,Zan Tabak,1610612754,84.0
1985,Zendon Hamilton,1610612746,83.0
980,Zydrunas Ilgauskas,1610612739,87.0
