player_id,height_in
76283,82
76471,68
76526,74
76822,74
76968,82
77024,76
77144,74
77334,80
77817,83
77861,80
470,76
78014,85
78025,80
1122,80
78570,79
1456,78
76017,77
1449,81
76296,75
76351,78
76398,76
76993,74
77141,76
1123,83
77487,80
1450,82
305,85
78482,79
76082,72
76436,82
76474,83
76753,75
76791,80
76847,75
77030,81
77071,80
77087,74
77873,81
77986,81
78133,80
78332,78
76291,84
76453,83
76497,75
76876,81
76881,81
77019,79
77134,82
77373,74
77757,84
941,75
78523,76
78615,81
76016,78
76176,78
76483,81
76516,75
107,79
76785,81
157,76
77719,82
77848,78
78222,77
78378,77
78418,79
770,82
76045,82
76358,77
76556,80
76618,76
76638,77
76673,80
76686,73
76944,79
77097,81
77975,77
7,83
78404,80
78565,74
76242,74
76353,84
76418,78
76431,76
76478,82
76670,83
76726,75
77168,82
77456,79
78139,79
78195,80
78343,83
76085,81
378,78
76736,74
76979,81
77175,83
77189,81
77353,73
77395,78
1622,80
77936,80
78055,88
78304,77
78442,80
76266,79
187,81
76583,86
77034,74
77203,80
77239,79
77401,78
77527,81
77547,72
77721,74
894,76
78183,78
78364,79
78450,83
78512,80
78516,82
76003,86
76444,79
76786,79
77142,81
77205,73
77324,81
77498,81
77530,77
77689,83
77905,80
2,75
78233,79
78532,78
1460,81
76054,73
76247,87
76252,77
76365,81
76616,75
76887,77
77160,79
600005,83
175,84
77623,84
77626,76
77879,77
78015,73
76170,75
76435,75
76539,83
76826,83
77163,81
2891,78
77263,78
77754,79
77911,74
77952,77
78436,73
433,80
78577,80
76362,85
600010,82
76707,82
76899,78
77264,79
77435,79
77770,80
77993,79
600009,74
78375,77
78437,76
78481,85
78571,75
76355,77
76425,80
77110,78
77148,79
77236,79
77318,82
77415,72
77541,77
78146,73
78250,77
78257,83
78320,75
78430,83
1006,82
76385,73
76641,73
76681,79
77092,82
77136,82
77193,81
279,81
77449,82
77484,73
77916,80
77950,75
9,74
78351,75
78569,80
76011,81
1453,78
229,85
76742,73
77022,75
77420,81
77438,75
77685,82
77864,80
77984,83
78059,78
78095,79
78500,76
76350,79
76441,82
17,79
77332,78
77376,75
77691,78
77731,81
77819,78
77863,85
78331,82
78395,74
78414,81
76317,76
76599,73
77290,78
77582,82
77588,81
77697,79
77756,80
77998,82
78281,75
78310,78
78,82
78614,77
76093,79
76124,82
76249,76
76804,79
600014,86
77184,82
77389,81
77399,81
77419,75
77558,83
77603,82
77615,79
77633,73
77820,74
122,82
78484,81
78556,74
76230,77
76272,75
1472,82
76971,81
76980,84
77135,76
77273,78
77518,81
78149,83
78279,74
78326,76
78423,79
78549,74
78610,78
76043,80
1847,83
76213,80
76504,77
76598,78
76631,88
76632,76
76874,72
76890,76
76942,78
77235,84
78537,82
76091,79
76518,79
76543,80
76810,82
77146,75
77300,81
328,82
117,76
77553,83
78041,82
78068,80
78215,75
78462,77
78581,75
76074,81
76154,83
940,81
77043,75
77167,74
100263,83
77377,80
1381,77
78048,77
78314,79
78318,73
78348,81
78369,78
78390,79
