player_id,height_in
278,80
302,72
76247,87
273,79
323,83
76842,78
1667,71
228,81
402,84
77496,74
78656,76
1874,80
1122,80
788,84
76001,82
76082,72
76123,78
428,72
296,79
333,78
170,83
77294,76
77384,79
1365,79
1450,82
305,85
291,81
78478,81
31,81
174,74
210,71
921,84
378,78
198,82
76904,82
77335,78
77685,82
184,77
899,72
78059,78
786,78
73,83
769,74
76184,79
76362,85
76676,76
270,82
893,78
351,83
1622,80
77697,79
77820,74
781,84
937,80
78375,77
78437,76
281,82
101258,75
76097,77
1603,77
76337,79
76488,82
426,81
157,76
1106,84
77065,78
77098,70
754,78
100,76
929,76
77794,85
399,82
475,82
78273,76
1839,80
78528,76
51,73
76265,78
111,80
67,81
76968,82
77386,80
77387,76
1855,76
87,86
123,74
77865,81
179,77
438,83
199,79
2349,81
146,78
1432,80
1090,79
423,82
81,77
896,72
925,81
238,81
780,77
24,67
175,84
36,77
904,78
182,80
77879,77
78227,78
84,77
78251,77
418,71
672,82
76726,75
76782,74
61,76
109,82
137,76
165,84
78014,85
181,75
78304,77
901,81
78589,77
76431,76
202,75
166,78
349,75
1114,76
330,82
80,80
914,84
771,84
78404,80
919,81
78464,76
78554,80
1010,70
104,84
76180,78
922,84
57,78
1030,73
124,85
229,85
920,81
324,76
2,75
380,75
9,74
1460,81
173,79
416,80
902,74
236,75
761,84
77251,83
3,81
114,77
779,80
927,83
938,83
216,78
120,80
138,81
468,77
783,81
103,78
898,76
38,83
77449,82
195,73
785,73
77776,82
77890,82
122,82
7,83
400,80
78615,81
1847,83
76183,76
363,83
26,86
77486,80
737,78
456,80
78110,84
1814,75
280,84
78415,78
28,78
52,74
912,79
72,73
76217,85
359,79
76385,73
934,82
201,83
76801,77
77053,83
77264,79
77358,77
328,82
356,80
77845,77
716,74
368,85
420,81
944,81
21,72
76176,78
76338,79
93,77
121,84
77260,76
193,80
891,81
470,76
293,82
317,75
1006,82
98,78
194,78
767,80
183,81
1036,73
70,75
1123,83
406,85
140,80
192,80
101,73
78347,79
78381,81
78621,80
905,83
1068,85
313,77
76875,77
45,80
397,79
417,78
71,73
96,81
907,80
22,88
78,82
78555,81
76046,79
76195,90
1008,74
288,81
285,67
765,75
204,75
77208,82
457,83
77822,80
897,81
1593,82
221,79
78534,82
76017,77
787,78
76,78
1472,82
30,79
134,73
77146,75
1118,82
1861,73
105,78
932,81
1054,82
78261,80
770,82
95,81
17,79
404,84
53,77
77138,79
760,79
145,79
345,75
361,82
78035,74
78201,82
393,75
433,80
341,83
41,80
753,74
190,84
432,82
55,82
77019,79
77261,71
77372,71
77905,80
782,77
1489,79
47,81
892,67
1005,80
335,80
76138,84
156,81
187,81
1380,79
219,76
251,80
107,79
422,71
694,79
77777,74
462,81
764,85
78195,80
116,81
355,78
344,71
262,81
431,82
1101,86
365,81
203,77
77789,79
56,76
64,81
894,76
88,81
1134,82
128,80
1479,82
895,78
180,73
76583,86
76631,88
1128,81
77081,75
1080,80
1474,81
117,76
252,81
304,73
76009,83
149,70
76316,74
364,76
76450,72
442,81
265,80
339,82
77096,77
77130,79
279,81
931,82
1628,86
77,75
85,73
1683,75
78194,75
1125,80
76016,78
247,75
76821,77
100263,83
371,82
77647,80
1116,76
178,84
1821,80
926,76
23,79
78041,82
78318,73
78633,76
76148,72
177,63
209,76
930,80
383,77
76826,83
76876,81
913,79
77426,77
297,82
271,79
766,77
