player_id,height_in
201952,74
2230,77
2207,79
2746,81
201238,77
1710,74
2037,77
201143,82
101107,81
2585,83
693,82
201043,83
2215,84
202070,80
201802,74
101126,69
708,83
2605,78
200765,73
201175,81
200749,81
951,77
739,83
1718,79
714,79
2754,76
2570,82
2243,81
200789,74
2590,73
2742,72
1712,81
980,87
2753,75
201980,78
200081,80
2760,83
1515,78
201581,81
2544,80
101214,81
406,85
200796,80
101113,81
201954,72
101108,72
1752,82
201977,76
2443,81
978,82
2050,79
2561,81
201153,80
201189,84
1899,80
2731,82
201151,75
201565,75
2457,73
2436,75
2736,81
2550,75
201149,83
201949,81
201570,80
101124,81
201959,81
201633,81
2484,77
201181,81
1802,84
1890,79
467,76
201958,72
2406,79
1501,82
200826,72
2679,78
2059,80
956,83
1891,74
2217,84
1717,84
2052,77
1497,75
201951,71
2030,81
2747,78
201167,77
2365,82
101121,79
2546,80
201207,77
1853,74
101130,84
2124,82
2403,83
200764,80
202221,83
201576,82
101235,77
101145,75
2740,83
1904,80
101142,82
201627,77
201228,74
201939,75
201805,83
201148,82
201229,81
1894,78
202130,78
2209,82
201166,72
2772,80
2449,81
200768,72
201966,76
201978,79
2397,90
2755,79
2431,83
2407,83
201941,82
200792,81
2203,80
200839,78
101236,78
2400,82
1884,75
2581,75
200783,79
201628,74
1730,81
201599,83
201569,75
200779,82
200776,78
201933,82
2566,81
2549,84
2446,79
200770,74
965,73
2575,80
200747,80
1885,82
200769,76
2200,84
101115,84
2756,79
2694,81
977,78
2788,84
1897,79
2748,81
2548,76
202238,75
2047,78
201596,73
979,83
2306,74
200821,79
1747,74
201161,77
2048,83
2592,80
201563,82
2617,80
101183,82
201202,81
201616,81
201943,73
101106,84
101141,82
2056,85
2568,78
2767,76
201601,80
2557,74
2422,78
2072,78
711,78
703,81
2294,75
2429,83
200797,84
2863,78
200762,84
201196,75
101155,79
201938,72
2562,79
2073,80
201605,82
201961,76
201147,81
2744,82
2545,84
201880,83
201567,82
200809,74
200767,82
201584,77
1499,83
201944,78
201146,84
201572,84
201604,79
2250,78
2553,80
2734,75
2743,81
2239,77
2039,75
2768,73
1503,80
201592,77
201611,78
1733,81
201568,82
1886,84
200771,75
201163,80
201962,73
2853,84
2201,84
101135,81
2067,73
200755,76
1533,75
1740,82
2730,83
101162,83
2749,72
1713,78
2554,78
2440,79
101138,80
1502,82
201583,82
1715,73
2563,78
2248,73
2211,83
2551,72
1902,83
101129,75
2399,81
201985,74
201575,78
201177,82
101122,80
200780,82
201946,81
201579,86
2223,83
947,72
1922,84
2738,78
201950,76
201160,84
201578,82
201975,76
201152,80
101150,73
200760,79
2584,75
1882,81
2574,80
2405,82
201609,75
201162,79
101112,83
2571,75
959,75
201577,84
200811,81
2260,83
101204,82
2202,78
201981,79
255,80
201947,82
201573,75
201164,78
436,81
200750,78
201988,72
2038,85
200746,83
948,83
101110,79
1889,74
101143,73
201965,81
201967,80
201141,84
201587,80
2137,77
2804,79
201187,81
201936,78
201956,81
2757,75
201590,83
201171,81
201150,85
101128,79
201574,83
201972,79
101118,81
201612,78
202066,78
201588,74
201998,73
2427,77
2225,74
2586,77
2588,82
1938,78
1495,83
202087,78
2210,79
101133,83
686,81
201971,79
201566,75
200757,79
201591,81
2555,82
201602,78
201953,75
1563,74
201586,82
201203,75
2420,84
201935,77
201145,81
201957,84
201142,81
2041,82
201595,80
201158,77
101127,75
2556,74
2547,82
200745,84
101181,75
201942,79
1725,84
200753,84
101161,81
101120,79
201603,78
2045,82
2501,80
2430,81
201785,77
101114,75
2246,83
202178,73
101179,74
202083,77
200794,80
2594,79
101139,78
201585,84
201178,85
1905,81
201589,81
201960,80
201970,78
200766,75
200758,79
2224,75
201144,73
201632,86
200752,80
201991,75
201564,76
201188,85
201934,87
2212,84
2216,81
2240,76
201156,78
2733,79
2624,78
2572,79
2034,80
101154,83
201159,77
202132,75
1863,65
201154,80
200751,76
201858,79
101177,82
101189,80
201580,84
201155,77
201948,83
1112,81
2732,75
2404,82
101198,72
1088,71
2419,81
101111,83
1888,79
201973,82
201969,80
2198,83
101131,79
1716,77
1536,80
2222,79
201974,80
2199,85
2205,84
200748,82
1737,82
201571,72
201945,77
101109,73
201582,84
101211,78
2564,80
689,82
