player_id,height_in
201952,74
200794,80
203501,78
201168,83
2550,76
203934,77
201143,82
203471,73
204002,87
203145,77
200757,79
2594,79
203488,83
203118,80
2743,81
202340,74
202738,69
203096,81
201973,82
202323,79
1626179,74
203923,78
1626154,77
204066,77
203935,76
203482,84
203092,84
1626175,80
101161,81
203109,78
201567,82
2592,80
202681,75
202697,77
2747,78
203521,76
101112,83
203895,77
202684,81
201619,83
202389,85
2544,80
2210,79
2563,78
2590,73
201936,78
204025,73
201600,84
203516,79
2570,82
202337,81
201569,76
201950,76
202087,78
201962,74
202347,79
203076,82
202706,79
202708,74
201583,82
201582,86
201967,80
201166,72
201565,75
203926,80
1626171,83
1626245,82
203200,78
203915,78
201149,83
2200,84
203503,79
202710,79
201959,81
2399,81
203946,81
202703,82
202734,76
1626147,78
101109,73
101111,83
200826,72
203939,83
101114,75
201580,84
202379,81
202083,77
202718,82
2585,83
2734,75
1717,84
101135,81
1626257,86
201589,81
1626144,77
2749,72
2034,80
203115,78
1626253,79
201568,82
203960,81
201571,72
203914,76
203999,82
201163,80
203994,84
202702,80
203530,83
201575,78
201578,82
2738,78
202691,79
101106,84
2760,83
2571,75
203949,81
203546,75
203110,79
201939,75
203105,83
2733,79
1626172,81
203084,80
202726,75
2772,80
201976,73
2746,81
203093,81
1626155,81
201563,82
2730,83
201935,77
203991,82
202700,84
1891,74
203909,78
201147,81
1626149,80
101108,72
200755,76
201599,83
201145,81
203143,75
2037,77
201601,80
201965,81
1626183,78
203085,76
203912,77
201933,82
202325,79
1718,79
202332,83
201156,79
1626156,77
101138,80
1626148,79
203527,83
203903,77
1626204,81
1626273,75
201579,86
101150,73
977,78
204028,81
203944,81
1897,79
203135,84
1626196,78
2547,83
2207,79
2548,76
201177,82
2405,82
201609,75
204020,76
2736,81
2748,81
1627362,74
101123,79
1626159,79
202355,84
2617,80
201564,77
203487,78
200779,82
203898,75
203953,80
202328,83
203996,80
203101,83
201573,75
1626173,78
202349,78
203114,80
203089,83
203507,83
203948,81
1626145,74
202962,82
203476,83
203897,77
201937,76
204014,81
2419,81
201593,83
203498,78
708,83
203952,80
1626157,84
203940,82
202357,82
203499,71
1626191,83
101127,75
203930,76
203508,79
201572,84
203156,82
202388,75
201961,76
203900,75
1626178,79
201152,80
203186,82
203080,82
202711,80
202338,82
204038,74
101181,75
201167,77
203100,78
204001,87
2546,80
201577,84
203124,82
203921,80
1626170,76
200811,81
2756,79
202682,80
202498,80
203932,81
203473,84
203901,76
203506,76
101141,82
202696,84
203095,79
203906,78
203894,73
201160,84
1626209,80
201228,74
203094,81
201943,73
101139,78
1626202,74
201155,77
201588,75
202730,81
201951,71
101145,75
202331,81
1626176,81
201941,82
101133,83
1626167,83
203922,79
203963,83
203524,79
203477,72
202397,72
203457,83
203088,76
201171,81
1626143,83
203917,78
204456,74
203954,84
1626158,82
203138,80
203496,81
1626174,83
203924,80
1882,81
1626164,78
202339,73
202688,75
2199,85
201978,79
203933,80
101179,74
1626210,80
200782,78
203462,77
203458,85
203098,76
202720,82
203141,81
203081,75
203148,73
203468,76
203090,81
1626192,77
202329,81
201945,77
203086,85
202334,82
203943,81
203459,78
203486,83
1626146,80
2549,84
1626242,79
1626161,84
201158,77
202341,78
201954,72
200752,80
200765,73
203112,79
202326,83
201956,81
203463,77
203961,82
1626251,81
203552,74
2406,79
201585,84
203937,81
202695,79
201988,72
2225,74
200746,83
201980,78
2588,82
203613,78
1938,78
1495,83
2755,79
1889,75
2561,81
2564,80
1626246,87
201566,75
201627,77
203079,76
2555,82
202713,80
200751,76
201586,82
202683,83
203500,84
1737,82
203460,79
1626166,75
203956,82
203962,79
201142,81
201574,83
201949,81
2449,81
201960,80
202709,75
200768,72
202687,81
201942,79
202685,84
203998,81
1626181,76
203082,79
202335,81
1626153,77
203512,84
204060,80
203504,73
203918,80
202714,75
202692,78
203957,78
202324,82
202330,80
202353,87
203187,78
203481,84
203526,73
203497,85
202344,80
1626168,82
203210,81
202362,77
203919,77
200770,74
2365,82
203955,73
2754,76
1626185,82
201144,73
204098,75
1713,78
203798,78
2440,79
201188,85
201148,82
2216,81
201162,79
202322,76
203078,77
202693,82
101187,78
201196,75
204067,79
1626162,79
101162,83
201977,76
202066,78
201581,81
203490,80
2403,83
2400,82
203083,83
202704,75
203484,77
1626199,78
1626169,79
203382,82
202694,81
203485,77
201975,76
2581,75
203493,79
202699,81
201229,80
201202,81
201150,85
201584,77
101107,81
203087,77
201587,80
202391,75
1626151,78
203268,75
203077,79
202689,73
2744,82
203584,76
203469,84
1626163,84
201946,81
