season_end_year,player_id,player_name,height_in
2022,1628983,Shai Gilgeous-Alexander,78
2022,1630581,Josh Giddey,80
2022,1629652,Luguentz Dort,75
2022,1628982,Melvin Frazier Jr.,77
2022,1629647,Darius Bazley,80
2022,1630177,Theo Maledon,76
2022,1630322,Lindy Waters III,78
2022,202324,Derrick Favors,81
2022,1629660,Ty Jerome,77
2022,1630197,Aleksej Pokusevski,84
2022,1630598,Aaron Wiggins,76
2022,1629676,Isaiah Roby,80
2022,1630544,Tre Mann,75
2022,1630249,Vít Krejčí,80
2022,203488,Mike Muscala,82
2022,1629026,Kenrich Williams,78
2022,1630526,Jeremiah Robinson-Earl,80
2022,1628970,Miles Bridges,79
2022,1630163,LaMelo Ball,79
2022,1626179,Terry Rozier,73
2022,202738,Isaiah Thomas,69
2022,1630547,James Bouknight,76
2022,1629667,Jalen McDaniels,81
2022,1626149,Montrezl Harrell,79
2022,1628998,Cody Martin,78
2022,1626162,Kelly Oubre Jr.,78
2022,1630208,Nick Richards,84
2022,1630575,Scottie Lewis,77
2022,202330,Gordon Hayward,79
2022,1630550,JT Thor,81
2022,1630539,Kai Jones,82
2022,203486,Mason Plumlee,83
2022,1629023,P.J. Washington,79
2022,1629083,Arnoldas Kulboka,82
